Sample,Pair,Ct_surface,Ct_nose,Location,Notes,ACH
R15,R14,27.733333333333334,20.400000000000002,Computer,Sitting,0
R23,R14,26.46666666666667,20.400000000000002,Computer,Sitting,0
R33,R32,25.333333333333332,25.96666666666667,Computer,Sitting,0
R49,R48,25.46666666666667,22.5,Computer,Sitting,0
R59,R58,26.7,23.666666666666668,Computer,Sitting,0
R111,R110,25.766666666666666,23.5,Computer,Sitting,0
R121,R120,26.2,22.6,Computer,Sitting,0
R141,R140,29.75,23.833333333333332,Computer,Sitting,0
R151,R150,29.866666666666664,24.65,Computer,Sitting,0
R161,R160,40,17.5,Computer,Sitting,0
R347,R412,24.5,40,Computer,Sitting,0
R422,R421,40,40,Computer,Sitting,0
R433,R432,40,40,Computer,Standing,0
R455,R465,40,40,Computer,Sitting,0
R466,R465,40,40,Computer,Standing,0
R477,R476,40,40,Computer,Sitting,0
R495,R494,40,40,Computer,Sitting,0
R597,R596,40,21.76666666666667,Computer,Standing,0
R619,R618,40,16.833333333333332,Computer,Sitting,0
R642,R641,40,26.53333333333333,Computer,Sitting,0
R722,R732,40,29.450000000000003,Computer,Sitting,0
R799,R798,31.066666666666663,17,Computer,Sitting,0
R809,R808,40,19.700000000000003,Computer,Standing,0
R819,R818,40,21.8,Computer,Sitting,0
R857,R856,20.766666666666666,23.633333333333336,Computer,Sitting,0
R923,R922,40,26.3,Computer,Sitting,0
H14,H13,26.6,16.200000000000003,Computer,Sitting,0
H25,H24,28.85,16.700000000000003,Computer,Standing,0
H60,H59,32.05,15.25,Computer,Sitting,0
H71,H59,30.25,15.25,Computer,Standing,0
H94,H93,28.8,15.700000000000001,Computer,Sitting,0
H191,H190,40,20.95,Computer,Sitting,0
H272,H271,27.5,22.9,Computer,Sitting,0
H283,H294,29.4,27.15,Computer,Standing,0
H329,H328,28.6,28.3,Computer,Sitting,0
H359,H357,29.299999999999997,31.15,Computer,Sitting,0
H439,H437,28.3,28.85,Computer,Sitting,0
H524,H522,40,40,Computer,Sitting,0
H535,H534,40,40,Computer,Standing,0
H570,H569,40,40,Computer,Sitting,0
H613,H611,40,40,Computer,Sitting,0
H624,H623,40,40,Computer,Standing,0
H698,H697,40,40,Computer,Sitting,0
