SampleID,Ch_0.3_Mean.x,Ch_1_Mean,Ch_2.5_Mean,Ch_3_Mean,Ch_5_Mean,Ch_10_Mean,Ct
R324,80682.16666666667,2739.1666666666665,245.83333333333334,332.6666666666667,187.33333333333334,35.5,40
R414,34801,5551,455,751,528,78,40
R416,36728,5313.2,403.4,628.8,383.2,63.2,28.2
R418,42865.4,7017.4,539.4,822.6,484,76.6,31.650000000000002
R488,7999,733,41,28,16,6,23.65
R490,13393.6,2783.2,216.8,334.8,221,55.8,40
R492,19852,5725,459.2,673.4,430,77.4,40
R576,13484,872,42,45,23,5,40
R579,41035.8,8456,627,1028.2,650.4,106.2,30.600000000000005
R580,41035.8,8456,627,1028.2,650.4,106.2,40
R582,15159.333333333334,2284,138.33333333333334,206.5,119.66666666666667,24.833333333333332,40
R583,15159.333333333334,2284,138.33333333333334,206.5,119.66666666666667,24.833333333333332,40
R631,6406,575,30,56,20,7,40
R632,7312,537,31,51,18,4,40
R633,7312,537,31,51,18,4,40
R634,1672.2,240.2,21.8,26.6,12,2.4,40
R635,1723,169.2,13.2,20.4,9.8,4.2,40
R636,1723,169.2,13.2,20.4,9.8,4.2,40
R638,1001,119.6,6.4,11.2,8.2,2.4,40
R639,1001,119.6,6.4,11.2,8.2,2.4,40
R712,5053,489,22,36,20,7,40
R715,8585.2,522,25.2,30.4,14,3.8,40
R716,8585.2,522,25.2,30.4,14,3.8,40
R718,9681.8,815.8,46,75.2,55,13,31
R719,9681.8,815.8,46,75.2,55,13,40
R791,41432,1377,79,109,37,14,40
R792,27104,1095,78,106,58,19,40
R793,42916,2330.6,177.2,234.4,126.2,20.6,30.366666666666664
R795,21657.6,1463,106.4,149.4,75,22.4,40
R849,14255,1124,88,166,76,14,40
R850,11322,918,85,109,70,20,40
R851,10948.4,792,73.2,93.2,48.4,17,40
R853,11905.6,1058.8,98.6,127.6,77,26.6,40
R915,29518,1235,88,121,67,13,40
R917,38086.2,2814,208.6,271.2,145,36,40
R919,40190.75,2845.75,207.25,278.5,133.75,25.625,40
H3,41264,1741,116,152,68,13,30.7
H4,35177,1241,88,153,62,13,30.45
H5,35177,1241,88,153,62,13,29.95
H6,38386,1078,73.8,89.2,34.8,10,31.233333333333334
H7,38386,1078,73.8,89.2,34.8,10,33.75
H10,52384.6,1954.2,103.2,115.8,44,10.6,32.05
H11,43179,1400.6,76,90.6,45.2,9.8,31.933333333333334
H83,24207,1004,65,60,22,7,40
H84,14182,382,28,33,19,3,33.650000000000006
H86,25891.2,2189.8,90.6,79,23.8,6.4,28.533333333333335
H87,25891.2,2189.8,90.6,79,23.8,6.4,32.166666666666664
H90,29778.6,1675.4,65.6,67.8,23.2,9,40
H180,24464,1699,100,134,102,36,33.2
H181,12644,678,46,62,36,11,33.650000000000006
H183,16810.8,1366.4,61.2,62,29,16.2,32
H184,16810.8,1366.4,61.2,62,29,16.2,30.75
H187,14888,1418.4,63.8,77.6,38.8,27,30.700000000000003
H261,16591,565,57,89,52,10,30.55
H262,16801,671,49,107,84,25,30.3
H264,32424.2,1242.6,75.6,119.2,66.6,30.4,30.1
H265,29237.4,1031,76,110,78,38.8,29.15
H267,23728,962.8,72.4,112.2,76.8,49.8,28.6
H268,23613.6,1770.2,148.4,280.6,214.4,68.4,28
H344,11458,735,36,40,29,10,40
H348,4950.4,247.6,20,28,17.8,6,32.800000000000004
H349,4950.4,247.6,20,28,17.8,6,40
H353,6330,209.2,13,26,14.2,5.4,40
H424,12558,374,9,17,6,4,40
H425,10710,308,17,24,21,8,30.75
H428,17307.6,427.2,18.6,25,17,6.4,40
H429,16641.8,515.4,38,60.8,50.4,14.4,40
H433,12887.4,469.6,20.8,32.2,16.2,6.2,40
H509,25137,726,62,136,75,16,40
H510,24626,924,107,233,192,47,40
H513,15610.6,552.8,57,114,72.2,27.2,40
H514,15882.8,676.6,78.4,126.4,103.4,34.6,40
H518,12072.6,523,66,113.4,83.8,32.6,40
H599,6752,326,37,53,54,14,31.53333333333333
H602,6100,224.8,19.4,39.6,23.6,6.6,40
