Sample,Trial,Ct
R137,Removal mechanism,29
R138,Removal mechanism,32.53333333333333
R511,Removal mechanism,40
R512,Removal mechanism,40
R521,Removal mechanism,40
R522,Removal mechanism,40
R531,Removal mechanism,25.366666666666664
R532,Removal mechanism,25.666666666666668
R541,Removal mechanism,28.35
R551,Removal mechanism,40
R552,Removal mechanism,40
R660,Removal mechanism,40
R661,Removal mechanism,40
R672,Removal mechanism,27.633333333333336
R673,Removal mechanism,31.45
R683,Removal mechanism,40
R684,Removal mechanism,40
R695,Removal mechanism,40
R696,Removal mechanism,30.8
R835,Removal mechanism,33.599999999999994
R873,Removal mechanism,40
R885,Removal mechanism,40
R894,Removal mechanism,40
R895,Removal mechanism,40
R905,Removal mechanism,31.5
R906,Removal mechanism,40
H111,Removal mechanism,32.8
H123,Removal mechanism,29.333333333333332
H124,Removal mechanism,32.3
H134,Removal mechanism,32.25
H135,Removal mechanism,21
H146,Removal mechanism,33.6
H147,Removal mechanism,30.766666666666666
H376,Removal mechanism,26.700000000000003
H377,Removal mechanism,31.450000000000003
H388,Removal mechanism,30.799999999999997
H389,Removal mechanism,31.400000000000002
H399,Removal mechanism,30.15
H400,Removal mechanism,30.15
H411,Removal mechanism,40
H412,Removal mechanism,31.2
H716,Removal mechanism,40
H717,Removal mechanism,40
H727,Removal mechanism,40
H728,Removal mechanism,40
H765,Removal mechanism,40
H766,Removal mechanism,40
H810,Removal mechanism,40
H811,Removal mechanism,40
H950,Removal mechanism,32.8
H951,Removal mechanism,32.45
H962,Removal mechanism,32.2
H973,Removal mechanism,29.6
H974,Removal mechanism,31.3
H989,Removal mechanism,32
H990,Removal mechanism,31.75
H1201,Removal mechanism,40
H1202,Removal mechanism,33.95
H1213,Removal mechanism,40
H1214,Removal mechanism,40
H1224,Removal mechanism,40
H1225,Removal mechanism,32.599999999999994
H1236,Removal mechanism,40
H1237,Removal mechanism,40
H1247,Removal mechanism,31.549999999999997
R147,Control,24.5
R148,Control,25.7
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R501,Control,25.066666666666666
R649,Control,40
R650,Control,40
R649,Control,40
R650,Control,40
R649,Control,40
R650,Control,40
R649,Control,40
R650,Control,40
R825,Control,34.15
R863,Control,40
R864,Control,40
R863,Control,40
R864,Control,40
R863,Control,40
R864,Control,40
H100,Control,30.2
H100,Control,30.2
H101,Control,29.4
H100,Control,30.2
H101,Control,29.4
H100,Control,30.2
H101,Control,29.4
H365,Control,29.85
H366,Control,30.200000000000003
H365,Control,29.85
H366,Control,30.200000000000003
H365,Control,29.85
H366,Control,30.200000000000003
H365,Control,29.85
H366,Control,30.200000000000003
H704,Control,40
H705,Control,40
H704,Control,40
H705,Control,40
H754,Control,31.46666666666667
H755,Control,40
H754,Control,31.46666666666667
H755,Control,40
H938,Control,32
H938,Control,32
H938,Control,32
H938,Control,32
H938,Control,32
H938,Control,32
H938,Control,32
H1190,Control,40
H1191,Control,40
H1190,Control,40
H1191,Control,40
H1190,Control,40
H1191,Control,40
H1190,Control,40
H1191,Control,40
H1190,Control,40
