Sample,Trial_6,Ct,ACH,Location,Loc
R137,Under ~4.5 ACH,29,4.5,TF-Desk,Near field
R138,Under ~4.5 ACH,32.53333333333333,4.5,TF-door,Far field
R511,Above ~9 ACH,40,12,TF-Desk,Near field
R512,Above ~9 ACH,40,12,TF-door,Far field
R521,Under ~4.5 ACH,40,3,TF-Desk,Near field
R522,Under ~4.5 ACH,40,3,TF-door,Far field
R531,Under ~4.5 ACH,25.366666666666664,4.5,TF-Desk,Near field
R532,Under ~4.5 ACH,25.666666666666668,4.5,TF-door,Far field
R541,Under ~4.5 ACH,28.35,4.5,TF-Desk,Near field
R660,Above ~9 ACH,40,12,TF-door,Far field
R661,Above ~9 ACH,40,12,TF-door,Far field
R672,Under ~4.5 ACH,27.633333333333336,3,TF-door,Far field
R673,Under ~4.5 ACH,31.45,3,TF-door,Far field
R683,Above ~9 ACH,40,9,TF-door,Far field
R684,Above ~9 ACH,40,9,TF-door,Far field
R873,Above ~9 ACH,40,12,TF-Desk,Near field
R885,Under ~4.5 ACH,40,3,TF-door,Far field
R894,Above ~9 ACH,40,9,TF-Desk,Near field
R895,Above ~9 ACH,40,9,TF-door,Far field
H111,Above ~9 ACH,32.8,12,TF-Desk,Near field
H123,Under ~4.5 ACH,29.333333333333332,3,TF-Desk,Near field
H124,Under ~4.5 ACH,32.3,3,TF-door,Far field
H134,Above ~9 ACH,32.25,9,TF-Desk,Near field
H135,Above ~9 ACH,21,9,TF-door,Far field
H376,Above ~9 ACH,26.700000000000003,12,TF-Desk,Near field
H377,Above ~9 ACH,31.450000000000003,12,TF-door,Far field
H388,Under ~4.5 ACH,30.799999999999997,3,TF-Desk,Near field
H389,Under ~4.5 ACH,31.400000000000002,3,TF-door,Far field
H399,Under ~4.5 ACH,30.15,4.5,TF-Desk,Near field
H400,Under ~4.5 ACH,30.15,4.5,TF-door,Far field
H716,Above ~9 ACH,40,12,TF-Desk,Near field
H717,Above ~9 ACH,40,12,TF-door,Far field
H727,Under ~4.5 ACH,40,3,TF-Desk,Near field
H728,Under ~4.5 ACH,40,3,TF-door,Far field
H810,Above ~9 ACH,40,9,TF-Desk,Near field
H811,Above ~9 ACH,40,9,TF-door,Far field
H950,Above ~9 ACH,32.8,12,TF-Desk,Near field
H951,Above ~9 ACH,32.45,12,TF-door,Far field
H962,Under ~4.5 ACH,32.2,4.5,TF-door,Far field
H973,Under ~4.5 ACH,29.6,3,TF-Desk,Near field
H974,Under ~4.5 ACH,31.3,3,TF-door,Far field
H1201,Under ~4.5 ACH,40,1,TF-Desk,Near field
H1202,Under ~4.5 ACH,33.95,1,TF-door,Far field
H1213,Above ~9 ACH,40,12,TF-Desk,Near field
H1214,Above ~9 ACH,40,12,TF-door,Far field
H1224,Under ~4.5 ACH,40,3,TF-Desk,Near field
H1225,Under ~4.5 ACH,32.599999999999994,3,TF-door,Far field
H1247,Under ~4.5 ACH,31.549999999999997,4.5,TF-Desk,Near field
R147,Under ~4.5 ACH,24.5,0,TF-Desk,Near field
R148,Under ~4.5 ACH,25.7,0,TF-door,Far field
R501,Under ~4.5 ACH,25.066666666666666,0,TF-Desk,Near field
R649,Under ~4.5 ACH,40,0,TF-door,Far field
R650,Under ~4.5 ACH,40,0,TF-door,Far field
R825,Under ~4.5 ACH,34.15,0,TF-Desk,Near field
R863,Under ~4.5 ACH,40,0,TF-Desk,Near field
R864,Under ~4.5 ACH,40,0,TF-door,Far field
H100,Under ~4.5 ACH,30.2,0,TF-Desk,Near field
H101,Under ~4.5 ACH,29.4,0,TF-door,Far field
H365,Under ~4.5 ACH,29.85,0,TF-Desk,Near field
H366,Under ~4.5 ACH,30.200000000000003,0,TF-door,Far field
H704,Under ~4.5 ACH,40,0,TF-Desk,Near field
H705,Under ~4.5 ACH,40,0,TF-door,Far field
H754,Under ~4.5 ACH,31.46666666666667,0,TF-Desk,Near field
H755,Under ~4.5 ACH,40,0,TF-door,Far field
H938,Under ~4.5 ACH,32,0,TF-Desk,Near field
H1190,Under ~4.5 ACH,40,0,TF-Desk,Near field
H1191,Under ~4.5 ACH,40,0,TF-door,Far field
