SampleID,R_Average,Ct
R21,NA,28.266666666666666
R22,NA,31.566666666666666
R147,36.49104098360655,24.5
R148,36.49104098360655,25.7
R157,34.09322131147541,32.63333333333333
R158,34.09322131147541,27.25
R167,35.67614130434782,33.05
R168,35.67614130434782,30.1
R276,23.75781818181818,31.9
R277,23.75781818181818,40
R297,55.23820588235294,40
R376,22.229936507936507,27.049999999999997
R409,58.71408771929825,40
R428,52.35206153846154,40
R462,58.975514705882354,40
R484,55.95929230769231,40
R501,43.401393442622954,25.066666666666666
R593,NA,40
R594,NA,40
R626,NA,27.333333333333332
R627,NA,40
R649,NA,40
R650,NA,40
R729,36.329385057471264,26.75
R730,36.329385057471264,40
R740,28.61822404371585,40
R741,28.61822404371585,28.666666666666668
R752,24.770918032786888,40
R753,24.770918032786888,29
R763,44.830639344262295,40
R764,44.830639344262295,40
R775,54.8555737704918,40
R776,54.8555737704918,40
R805,39.43196721311475,32.53333333333334
R806,39.43196721311475,32.06666666666667
R825,NA,34.15
R826,NA,33.36666666666667
R863,41.06040625,40
R864,41.06040625,40
R929,45.898593749999996,40
R940,31.76844117647059,40
R941,31.76844117647059,40
R952,27.411803278688524,33.35
R953,27.411803278688524,40
R963,50.35687096774193,40
R964,50.35687096774193,40
R975,54.83267759562842,40
R976,54.83267759562842,40
H20,47.30865573770492,31.55
H21,47.30865573770492,30.65
H22,47.30865573770492,30.9
H67,41.28852459016393,31
H68,41.28852459016393,27.65
H100,45.51268852459016,30.2
H101,45.51268852459016,29.4
H197,34.400125,29.25
H198,34.400125,29.700000000000003
H208,27.70077868852459,30.55
H209,27.70077868852459,30.85
H220,25.82622222222222,30.8
H221,25.82622222222222,31.45
H231,50.41840163934426,30.7
H232,50.41840163934426,31
H243,58.2080303030303,30.45
H244,58.2080303030303,31.05
H278,36.217311475409836,26.3
H279,36.217311475409836,28.25
H335,33.3232131147541,29.85
H336,33.3232131147541,30
H365,45.143967741935484,29.85
H366,45.143967741935484,30.200000000000003
H445,46.16154098360656,29.7
H446,46.16154098360656,40
H468,30.049121212121214,29.85
H469,30.049121212121214,30.133333333333336
H479,26.459868852459017,31.15
H480,26.459868852459017,32.599999999999994
H491,50.06872807017544,30.333333333333332
H492,50.06872807017544,40
H503,61.01039344262295,40
H504,61.01039344262295,31.3
H530,31.166688524590164,40
H531,31.166688524590164,40
H576,31.669967213114756,40
H577,31.669967213114756,40
H619,32.166775956284155,40
H620,32.166775956284155,40
H704,41.83867741935484,40
H705,41.83867741935484,40
H754,60.76874316939891,31.46666666666667
H755,60.76874316939891,40
H777,56.53137817976258,40
H778,56.53137817976258,32.65
H788,54.92659259259259,40
H789,54.92659259259259,40
H799,28.791448087431696,33.2
H800,28.791448087431696,40
H843,71.57142076502733,29.049999999999997
H844,71.57142076502733,32.95
H889,45.53845238095238,30.7
H890,45.53845238095238,31.95
H927,57.81845771144279,32.45
H928,57.81845771144279,40
H938,46.25147540983606,32
H1025,65.67849206349206,40
H1026,65.67849206349206,31.6
H1036,37.9416393442623,33.55
H1037,37.9416393442623,32.53333333333333
H1048,28.36777777777778,32.05
H1049,28.36777777777778,40
H1106,62.197786885245904,40
H1107,62.197786885245904,40
H1163,69.49410052910054,40
H1164,69.49410052910054,40
H1190,72.72020491803279,40
H1191,72.72020491803279,40
H1282,65.65143442622951,40
H1283,65.65143442622951,40
H1293,38.907,40
H1294,38.907,40
H1304,26.693073770491804,40
H1305,26.693073770491804,40
