SampleID,R_Average,Ct
R23,NA,26.46666666666667
R24,NA,28.133333333333336
R25,NA,25.5
R33,NA,25.333333333333332
R34,NA,30.299999999999997
R35,NA,28.46666666666667
R49,NA,25.46666666666667
R50,NA,28.099999999999998
R51,NA,25.366666666666664
R59,NA,26.7
R60,NA,26.03333333333333
R61,NA,25.6
R111,51.2008125,25.766666666666666
R112,51.2008125,22.8
R113,51.2008125,20.333333333333332
R121,44.805156249999996,26.2
R122,44.805156249999996,22.166666666666668
R123,44.805156249999996,27.299999999999997
R141,36.49104098360655,29.75
R142,36.49104098360655,32.56666666666667
R143,36.49104098360655,23.400000000000002
R151,34.09322131147541,29.866666666666664
R152,34.09322131147541,30.96666666666667
R161,35.67614130434782,40
R162,35.67614130434782,25.633333333333336
R163,35.67614130434782,29.366666666666664
R271,23.75781818181818,31.066666666666666
R272,23.75781818181818,20.733333333333334
R290,55.23820588235294,27.7
R291,55.23820588235294,25.266666666666666
R292,55.23820588235294,26.5
R347,NA,24.5
R348,NA,40
R349,NA,27.8
R369,22.229936507936507,40
R370,22.229936507936507,40
R371,22.229936507936507,40
R380,NA,40
R381,NA,40
R402,58.71408771929825,24.03333333333333
R403,58.71408771929825,40
R404,58.71408771929825,40
R495,43.401393442622954,40
R496,43.401393442622954,40
R587,NA,40
R588,NA,40
R619,NA,40
R621,NA,40
R642,NA,40
R643,NA,40
R644,NA,40
R722,36.329385057471264,40
R723,36.329385057471264,40
R724,36.329385057471264,40
R734,28.61822404371585,40
R735,28.61822404371585,40
R745,24.770918032786888,40
R746,24.770918032786888,40
R756,44.830639344262295,40
R757,44.830639344262295,40
R768,54.8555737704918,40
R769,54.8555737704918,40
R799,39.43196721311475,31.066666666666663
R800,39.43196721311475,30.26666666666667
R801,39.43196721311475,40
R819,NA,40
R820,NA,40
R946,27.411803278688524,29.5
R947,27.411803278688524,32.13333333333333
R958,50.35687096774193,29.5
R959,50.35687096774193,32
R969,54.83267759562842,31.95
R970,54.83267759562842,26.76666666666667
H14,47.30865573770492,26.6
H15,47.30865573770492,28.35
H16,47.30865573770492,31.25
H94,45.51268852459016,28.8
H95,45.51268852459016,30.75
H96,45.51268852459016,28.95
H191,34.400125,40
H192,34.400125,29.25
H193,34.400125,40
H202,27.70077868852459,40
H203,27.70077868852459,30.049999999999997
H204,27.70077868852459,40
H214,25.82622222222222,40
H215,25.82622222222222,30.299999999999997
H216,25.82622222222222,40
H225,50.41840163934426,40
H226,50.41840163934426,32.1
H227,50.41840163934426,32.75
H272,36.217311475409836,27.5
H273,36.217311475409836,28.6
H274,36.217311475409836,30.45
H329,33.3232131147541,28.6
H330,33.3232131147541,27.3
H331,33.3232131147541,27.65
H359,45.143967741935484,29.299999999999997
H360,45.143967741935484,29.549999999999997
H361,45.143967741935484,28.15
H439,46.16154098360656,28.3
H440,46.16154098360656,40
H441,46.16154098360656,29.1
H473,26.459868852459017,31.25
H474,26.459868852459017,33.2
H475,26.459868852459017,29.200000000000003
H485,50.06872807017544,29.85
H486,50.06872807017544,31.25
H487,50.06872807017544,29.9
H524,31.166688524590164,40
H525,31.166688524590164,40
H526,31.166688524590164,40
H613,32.166775956284155,40
H614,32.166775956284155,40
H615,32.166775956284155,40
H698,41.83867741935484,40
H699,41.83867741935484,32.8
H748,60.76874316939891,40
H749,60.76874316939891,30.866666666666664
H771,56.53137817976258,40
H772,56.53137817976258,40
H773,56.53137817976258,40
H782,54.92659259259259,32.05
H783,54.92659259259259,40
H784,54.92659259259259,40
H793,28.791448087431696,40
H794,28.791448087431696,40
H795,28.791448087431696,40
H838,71.57142076502733,29.799999999999997
H883,45.53845238095238,31.049999999999997
H884,45.53845238095238,33.3
H885,45.53845238095238,30.95
H932,46.25147540983606,29.35
H933,46.25147540983606,28.9
H934,46.25147540983606,28.95
H1019,65.67849206349206,29.85
H1020,65.67849206349206,29.049999999999997
H1021,65.67849206349206,29.9
H1030,37.9416393442623,40
H1031,37.9416393442623,30.95
H1032,37.9416393442623,28
H1042,28.36777777777778,40
H1043,28.36777777777778,31.5
H1044,28.36777777777778,29.1
H1100,62.197786885245904,40
H1101,62.197786885245904,31.700000000000003
H1102,62.197786885245904,40
H1184,72.72020491803279,32.9
H1185,72.72020491803279,32.03333333333333
H1186,72.72020491803279,28.75
H1298,26.693073770491804,40
H1299,26.693073770491804,40
H1300,26.693073770491804,40
