Sample_DeskTF,Sample_Door,TSI_0.3_Desk,TSI_1_Desk,TSI_2.5_Desk,TSI_3_Desk,TSI_5_Desk,TSI_10_Desk,TSI_0.3_door,TSI_1_door,TSI_2.5_door,TSI_3_door,TSI_5_door,TSI_10_door,Notes,ACH,Ct_TF_Desk,Ct_TF_door,Ct_DIFF,TSI_0.3_DIFF,TSI_1_DIFF,TSI_2.5_DIFF,TSI_3_DIFF
R631,R632,6406,575,30,56,20,7,7312,537,31,51,18,4,Coughtest,0,40,40,0,-906,38,-1,5
R634,R635,1672.2,240.2,21.8,26.6,12,2.4,1723,169.2,13.2,20.4,9.8,4.2,Speaktest,0,40,40,0,-50.799999999999955,71,8.600000000000001,6.200000000000003
R791,R792,41432,1377,79,109,37,14,27104,1095,78,106,58,19,Coughtest,0,40,40,0,14328,282,1,3
R805,R806,24508.033333333333,1155.45,64.78333333333333,69.05,23.066666666666666,4.516666666666667,24470.266666666666,1026.1166666666666,53.8,65.85,27.316666666666666,6.016666666666667,Sitting,0,32.53333333333334,32.06666666666667,0.46666666666666856,37.766666666666424,129.33333333333348,10.983333333333334,3.200000000000003
R815,R816,13730.083333333334,688.3,43.06666666666667,52.1,23.416666666666668,11.683333333333334,14499,615.05,35.31666666666667,46.68333333333333,25.533333333333335,13.65,Standing,0,28.233333333333334,31.2,-2.966666666666665,-768.9166666666661,73.25,7.75,5.416666666666671
R825,R826,15196.09677419355,1594.7903225806451,125.19354838709677,160.83870967741936,68.45161290322581,12.806451612903226,15557.370967741936,1393.0483870967741,93.74193548387096,127.35483870967742,65.43548387096774,11.14516129032258,Sitting,0,34.15,33.36666666666667,0.7833333333333314,-361.2741935483864,201.74193548387098,31.451612903225808,33.483870967741936
R845,R846,50674.53333333333,2402.4666666666667,207.8,310.06666666666666,207.2,197.86666666666667,49858.333333333336,2240,170.2,255.4,190.93333333333334,169.73333333333332,Treadmill,0,28.950000000000003,31.233333333333334,-2.2833333333333314,816.1999999999971,162.4666666666667,37.60000000000002,54.66666666666666
R849,R850,14255,1124,88,166,76,14,11322,918,85,109,70,20,Coughtest,0,40,40,0,2933,206,3,57
R863,R864,13851.507936507936,451.6190476190476,31.53968253968254,43.682539682539684,18.904761904761905,7.936507936507937,14452.269841269841,409.3015873015873,28.19047619047619,38.34920634920635,18.523809523809526,6.523809523809524,Sitting,0,40,40,0,-600.7619047619046,42.3174603174603,3.3492063492063515,5.333333333333336
R940,R941,21522.044776119405,619.0298507462686,28.686567164179106,27.73134328358209,11.417910447761194,3.417910447761194,14834.313432835821,504.7761194029851,24.880597014925375,28.71641791044776,13.313432835820896,3.611940298507463,Dehumidification,0,40,40,0,6687.731343283584,114.2537313432835,3.8059701492537314,-0.9850746268656714
