Sample_Dehumidification,Sample_humidification,Ct_Dehumidification,Ct_humidification,location
R358,R380,40,40,Computer
R369,R380,40,40,Computer
R745,R756,40,40,Computer
R946,R969,29.5,31.95,Computer
H202,H225,40,40,Computer
H214,H225,40,40,Computer
H462,H485,28.5,29.85,Computer
H473,H485,31.25,29.85,Computer
H793,H782,40,32.05,Computer
H1030,H782,40,32.05,Computer
H1042,H782,40,32.05,Computer
H1287,H782,40,32.05,Computer
H1298,H782,40,32.05,Computer
R271,R291,31.066666666666666,25.266666666666666,Phone
R359,R381,40,40,Phone
R370,R381,40,40,Phone
R734,R757,40,40,Phone
R746,R757,40,40,Phone
R935,R958,40,29.5,Phone
R947,R958,32.13333333333333,29.5,Phone
H203,H226,30.049999999999997,32.1,Phone
H215,H226,30.299999999999997,32.1,Phone
H463,H486,40,31.25,Phone
H474,H486,33.2,31.25,Phone
H794,H783,40,40,Phone
H1031,H783,30.95,40,Phone
H1043,H783,31.5,40,Phone
H1288,H783,40,40,Phone
H1299,H783,40,40,Phone
R272,R292,20.733333333333334,26.5,Chair
R360,R393,29.666666666666668,23.833333333333332,Chair
R371,R393,40,23.833333333333332,Chair
R735,R404,40,40,Chair
R936,R959,32.650000000000006,32,Chair
H204,H227,40,32.75,Chair
H216,H227,40,32.75,Chair
H464,H487,29.2,29.9,Chair
H475,H487,29.200000000000003,29.9,Chair
H795,H784,40,40,Chair
H1032,H784,28,40,Chair
H1044,H784,29.1,40,Chair
H1289,H784,33.95,40,Chair
H1300,H784,40,40,Chair
