Sample,Ct,Location,Trial
R358,40,Computer,Dehumidification
R369,40,Computer,Dehumidification
R745,40,Computer,Dehumidification
R946,29.5,Computer,Dehumidification
H202,40,Computer,Dehumidification
H214,40,Computer,Dehumidification
H462,28.5,Computer,Dehumidification
H473,31.25,Computer,Dehumidification
H793,40,Computer,Dehumidification
H1030,40,Computer,Dehumidification
H1042,40,Computer,Dehumidification
H1287,40,Computer,Dehumidification
H1298,40,Computer,Dehumidification
R271,31.066666666666666,Phone,Dehumidification
R359,40,Phone,Dehumidification
R370,40,Phone,Dehumidification
R734,40,Phone,Dehumidification
R746,40,Phone,Dehumidification
R935,40,Phone,Dehumidification
R947,32.13333333333333,Phone,Dehumidification
H203,30.049999999999997,Phone,Dehumidification
H215,30.299999999999997,Phone,Dehumidification
H463,40,Phone,Dehumidification
H474,33.2,Phone,Dehumidification
H794,40,Phone,Dehumidification
H1031,30.95,Phone,Dehumidification
H1043,31.5,Phone,Dehumidification
H1288,40,Phone,Dehumidification
H1299,40,Phone,Dehumidification
R272,20.733333333333334,Chair,Dehumidification
R360,29.666666666666668,Chair,Dehumidification
R371,40,Chair,Dehumidification
R735,40,Chair,Dehumidification
R936,32.650000000000006,Chair,Dehumidification
H204,40,Chair,Dehumidification
H216,40,Chair,Dehumidification
H464,29.2,Chair,Dehumidification
H475,29.200000000000003,Chair,Dehumidification
H795,40,Chair,Dehumidification
H1032,28,Chair,Dehumidification
H1044,29.1,Chair,Dehumidification
H1289,33.95,Chair,Dehumidification
H1300,40,Chair,Dehumidification
R380,40,Computer,Humidification
R380,40,Computer,Humidification
R756,40,Computer,Humidification
R969,31.95,Computer,Humidification
H225,40,Computer,Humidification
H225,40,Computer,Humidification
H485,29.85,Computer,Humidification
H485,29.85,Computer,Humidification
H782,32.05,Computer,Humidification
H782,32.05,Computer,Humidification
H782,32.05,Computer,Humidification
H782,32.05,Computer,Humidification
H782,32.05,Computer,Humidification
R291,25.266666666666666,Phone,Humidification
R381,40,Phone,Humidification
R381,40,Phone,Humidification
R757,40,Phone,Humidification
R757,40,Phone,Humidification
R958,29.5,Phone,Humidification
R958,29.5,Phone,Humidification
H226,32.1,Phone,Humidification
H226,32.1,Phone,Humidification
H486,31.25,Phone,Humidification
H486,31.25,Phone,Humidification
H783,40,Phone,Humidification
H783,40,Phone,Humidification
H783,40,Phone,Humidification
H783,40,Phone,Humidification
H783,40,Phone,Humidification
R292,26.5,Chair,Humidification
R393,23.833333333333332,Chair,Humidification
R393,23.833333333333332,Chair,Humidification
R404,40,Chair,Humidification
R959,32,Chair,Humidification
H227,32.75,Chair,Humidification
H227,32.75,Chair,Humidification
H487,29.9,Chair,Humidification
H487,29.9,Chair,Humidification
H784,40,Chair,Humidification
H784,40,Chair,Humidification
H784,40,Chair,Humidification
H784,40,Chair,Humidification
H784,40,Chair,Humidification
